Tree,Group,periodBegin,periodEnd
ET3,89,2023-01-09T00:00:00Z,2023-01-09T05:15:00Z
ET3,90,2023-01-09T21:45:00Z,2023-01-10T03:30:00Z
ET3,91,2023-01-12T23:00:00Z,2023-01-13T02:00:00Z
ET3,92,2023-01-18T00:30:00Z,2023-01-18T06:15:00Z
ET3,93,2023-01-19T18:45:00Z,2023-01-19T22:00:00Z
ET3,94,2023-01-30T17:45:00Z,2023-01-30T21:45:00Z
ET3,95,2023-02-16T01:00:00Z,2023-02-16T06:30:00Z
ET3,96,2023-02-24T17:45:00Z,2023-02-24T21:00:00Z
ET3,97,2023-02-28T19:00:00Z,2023-02-28T23:00:00Z
ET3,98,2023-03-02T18:00:00Z,2023-03-02T22:45:00Z
ET3,99,2023-03-05T17:30:00Z,2023-03-05T20:30:00Z
ET3,100,2023-03-08T19:30:00Z,2023-03-08T23:00:00Z
ET3,101,2023-03-20T18:00:00Z,2023-03-20T22:30:00Z
ET3,102,2023-04-12T20:00:00Z,2023-04-13T00:15:00Z
ET3,103,2023-05-01T21:45:00Z,2023-05-02T00:45:00Z
ET3,104,2023-06-11T18:15:00Z,2023-06-11T23:30:00Z
ET4,105,2022-07-04T00:15:00Z,2022-07-04T04:30:00Z
ET4,106,2022-07-04T21:45:00Z,2022-07-05T05:45:00Z
ET4,107,2022-07-05T23:45:00Z,2022-07-06T05:30:00Z
ET4,108,2022-07-09T23:45:00Z,2022-07-10T05:30:00Z
ET4,109,2022-07-11T23:00:00Z,2022-07-12T04:45:00Z
ET4,110,2022-07-19T22:45:00Z,2022-07-20T06:00:00Z
ET4,111,2022-07-22T19:30:00Z,2022-07-23T04:45:00Z
ET4,112,2022-07-25T20:00:00Z,2022-07-26T00:45:00Z
ET4,113,2022-07-27T23:45:00Z,2022-07-28T04:00:00Z
ET4,114,2022-07-29T20:45:00Z,2022-07-30T01:30:00Z
ET4,115,2022-08-06T22:15:00Z,2022-08-07T02:15:00Z
ET4,116,2022-08-13T00:30:00Z,2022-08-13T05:45:00Z
ET4,117,2022-08-15T21:15:00Z,2022-08-16T00:45:00Z
ET4,118,2022-08-20T20:00:00Z,2022-08-20T23:00:00Z
ET4,119,2022-09-01T19:45:00Z,2022-09-02T03:45:00Z
ET4,120,2022-09-03T23:15:00Z,2022-09-04T03:00:00Z
ET4,121,2022-09-04T23:45:00Z,2022-09-05T05:30:00Z
ET4,122,2022-09-12T00:45:00Z,2022-09-12T04:30:00Z
ET4,123,2022-09-16T00:15:00Z,2022-09-16T03:45:00Z
ET4,124,2022-09-29T02:00:00Z,2022-09-29T05:30:00Z
ET4,125,2022-10-03T00:00:00Z,2022-10-03T05:45:00Z
ET4,126,2022-10-05T21:00:00Z,2022-10-06T03:15:00Z
ET4,127,2022-10-11T23:30:00Z,2022-10-12T03:30:00Z
ET4,128,2022-10-13T21:30:00Z,2022-10-14T04:30:00Z
ET4,129,2022-10-15T00:00:00Z,2022-10-15T05:45:00Z
ET4,130,2022-10-16T00:45:00Z,2022-10-16T05:30:00Z
ET4,131,2022-10-24T17:15:00Z,2022-10-24T23:00:00Z
ET4,132,2022-10-25T17:00:00Z,2022-10-25T22:45:00Z
ET4,133,2022-10-31T23:45:00Z,2022-11-01T03:15:00Z
ET4,134,2022-11-14T00:45:00Z,2022-11-14T04:00:00Z
ET4,135,2022-11-16T02:45:00Z,2022-11-16T05:45:00Z
ET4,136,2022-11-21T23:45:00Z,2022-11-22T04:45:00Z
ET4,137,2022-11-29T23:30:00Z,2022-11-30T06:00:00Z
ET4,138,2022-12-02T00:45:00Z,2022-12-02T05:00:00Z
ET4,139,2022-12-03T18:45:00Z,2022-12-03T22:45:00Z
ET4,140,2022-12-04T19:00:00Z,2022-12-05T01:00:00Z
ET4,141,2022-12-06T22:45:00Z,2022-12-07T02:15:00Z
ET4,142,2022-12-07T23:00:00Z,2022-12-08T02:00:00Z
ET4,143,2022-12-08T17:45:00Z,2022-12-08T21:45:00Z
ET4,144,2022-12-14T19:15:00Z,2022-12-14T22:15:00Z
ET4,145,2022-12-16T23:45:00Z,2022-12-17T03:15:00Z
ET4,146,2023-01-09T20:45:00Z,2023-01-10T04:30:00Z
ET4,147,2023-01-11T22:45:00Z,2023-01-12T01:45:00Z
ET4,148,2023-02-16T01:00:00Z,2023-02-16T06:30:00Z
ET4,149,2023-02-28T19:30:00Z,2023-02-28T23:00:00Z
ET4,150,2023-03-02T18:15:00Z,2023-03-02T23:00:00Z
ET4,151,2023-03-08T19:30:00Z,2023-03-08T22:45:00Z
ET4,152,2023-03-20T18:15:00Z,2023-03-20T22:30:00Z
ET4,153,2023-03-29T02:15:00Z,2023-03-29T06:00:00Z
ET4,154,2023-04-12T20:00:00Z,2023-04-13T00:15:00Z
ET4,155,2023-04-30T01:00:00Z,2023-04-30T05:15:00Z
ET4,156,2023-05-01T20:45:00Z,2023-05-02T01:00:00Z
ET4,157,2023-05-03T00:30:00Z,2023-05-03T04:00:00Z
ET4,158,2023-06-05T00:30:00Z,2023-06-05T04:45:00Z
ET4,159,2023-06-05T19:30:00Z,2023-06-05T23:15:00Z
ET4,160,2023-06-08T22:00:00Z,2023-06-09T02:30:00Z
ET5,161,2022-07-20T00:15:00Z,2022-07-20T05:45:00Z
ET5,162,2022-07-28T00:45:00Z,2022-07-28T04:00:00Z
ET5,163,2022-08-13T00:45:00Z,2022-08-13T05:30:00Z
ET5,164,2022-09-12T01:00:00Z,2022-09-12T04:15:00Z
ET5,165,2022-09-17T01:30:00Z,2022-09-17T05:00:00Z
ET5,166,2022-10-03T18:15:00Z,2022-10-03T22:00:00Z
ET5,167,2022-10-05T19:15:00Z,2022-10-06T00:00:00Z
ET5,168,2022-11-22T00:00:00Z,2022-11-22T04:15:00Z
ET5,169,2022-12-04T19:15:00Z,2022-12-04T22:15:00Z
ET5,170,2022-12-06T23:00:00Z,2022-12-07T02:00:00Z
ET5,171,2022-12-28T22:30:00Z,2022-12-29T03:00:00Z
ET5,172,2023-01-09T21:45:00Z,2023-01-10T04:30:00Z
ET5,173,2023-01-11T21:30:00Z,2023-01-12T01:30:00Z
ET5,174,2023-01-18T01:00:00Z,2023-01-18T04:00:00Z
ET5,175,2023-03-29T02:45:00Z,2023-03-29T05:45:00Z
ET5,176,2023-04-20T19:45:00Z,2023-04-20T23:00:00Z
ET5,177,2023-06-28T00:00:00Z,2023-06-28T05:15:00Z
ET5,178,2023-07-05T19:30:00Z,2023-07-05T23:15:00Z
ET5,179,2023-07-10T01:00:00Z,2023-07-10T05:00:00Z
ET6,180,2022-07-02T18:00:00Z,2022-07-02T21:00:00Z
ET6,181,2022-07-04T00:30:00Z,2022-07-04T04:00:00Z
ET6,182,2022-07-04T23:00:00Z,2022-07-05T05:30:00Z
ET6,183,2022-07-10T00:45:00Z,2022-07-10T05:30:00Z
ET6,184,2022-07-29T18:00:00Z,2022-07-30T05:45:00Z
ET6,185,2022-07-31T01:30:00Z,2022-07-31T04:30:00Z
ET6,186,2022-07-31T18:15:00Z,2022-07-31T21:15:00Z
ET6,187,2022-08-13T00:45:00Z,2022-08-13T05:45:00Z
ET6,188,2022-08-18T00:30:00Z,2022-08-18T04:00:00Z
ET6,189,2022-09-04T23:30:00Z,2022-09-05T05:30:00Z
ET6,190,2022-09-12T01:00:00Z,2022-09-12T04:15:00Z
ET6,191,2022-10-03T00:00:00Z,2022-10-03T05:30:00Z
ET6,192,2022-10-03T18:00:00Z,2022-10-03T22:00:00Z
ET6,193,2022-10-05T18:30:00Z,2022-10-06T03:15:00Z
ET6,194,2022-10-13T02:00:00Z,2022-10-13T05:45:00Z
ET6,195,2022-10-14T00:00:00Z,2022-10-14T03:45:00Z
ET6,196,2022-11-14T00:45:00Z,2022-11-14T04:00:00Z
ET6,197,2022-11-14T21:30:00Z,2022-11-15T05:45:00Z
