periodBegin,periodEnd,Tree
2022-08-21T23:45:00Z,2022-08-22T03:15:00Z,ET2
2022-08-24T01:45:00Z,2022-08-24T04:45:00Z,ET2
2022-08-28T02:30:00Z,2022-08-28T05:30:00Z,ET2
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,ET2
2022-09-07T22:15:00Z,2022-09-08T05:30:00Z,ET2
2022-09-12T00:30:00Z,2022-09-12T04:15:00Z,ET2
2022-09-29T18:00:00Z,2022-09-29T21:15:00Z,ET2
2022-09-29T22:15:00Z,2022-09-30T03:45:00Z,ET2
2022-10-03T00:00:00Z,2022-10-03T03:00:00Z,ET2
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET2
2022-10-05T19:15:00Z,2022-10-06T03:15:00Z,ET2
2022-10-15T23:30:00Z,2022-10-16T05:30:00Z,ET2
2022-10-25T00:45:00Z,2022-10-25T05:00:00Z,ET2
2022-11-10T02:30:00Z,2022-11-10T05:30:00Z,ET2
2022-11-13T01:45:00Z,2022-11-13T05:45:00Z,ET2
2022-11-14T00:45:00Z,2022-11-14T03:45:00Z,ET2
2022-11-16T01:45:00Z,2022-11-16T05:30:00Z,ET2
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET2
2022-11-29T22:30:00Z,2022-11-30T03:00:00Z,ET2
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET2
2022-12-03T18:15:00Z,2022-12-03T22:30:00Z,ET2
2022-12-04T19:15:00Z,2022-12-04T23:15:00Z,ET2
2022-12-06T22:45:00Z,2022-12-07T02:15:00Z,ET2
2022-12-07T23:00:00Z,2022-12-08T02:00:00Z,ET2
2022-12-17T00:15:00Z,2022-12-17T03:15:00Z,ET2
2022-12-28T22:30:00Z,2022-12-29T03:45:00Z,ET2
2023-01-01T20:15:00Z,2023-01-01T23:30:00Z,ET2
2023-01-10T00:00:00Z,2023-01-10T03:30:00Z,ET2
2023-01-11T22:00:00Z,2023-01-12T01:15:00Z,ET2
2023-01-18T00:45:00Z,2023-01-18T04:00:00Z,ET2
2023-02-28T19:15:00Z,2023-02-28T22:45:00Z,ET2
2023-03-02T18:00:00Z,2023-03-02T22:30:00Z,ET2
2023-03-08T19:30:00Z,2023-03-08T23:00:00Z,ET2
2023-04-12T20:00:00Z,2023-04-13T00:00:00Z,ET2
2023-04-30T01:15:00Z,2023-04-30T05:15:00Z,ET2
2023-05-01T20:30:00Z,2023-05-01T23:45:00Z,ET2
2023-07-10T01:15:00Z,2023-07-10T04:30:00Z,ET2
2023-07-21T23:45:00Z,2023-07-22T04:15:00Z,ET2
2023-07-27T20:30:00Z,2023-07-28T01:00:00Z,ET2
2023-07-28T18:15:00Z,2023-07-28T21:30:00Z,ET2
2023-07-30T19:45:00Z,2023-07-30T23:00:00Z,ET2
2023-07-31T19:00:00Z,2023-08-01T05:30:00Z,ET2
2023-08-03T21:30:00Z,2023-08-04T01:30:00Z,ET2
2023-08-10T22:00:00Z,2023-08-11T01:30:00Z,ET2
2023-08-21T00:45:00Z,2023-08-21T05:30:00Z,ET2
2023-08-25T22:30:00Z,2023-08-26T04:30:00Z,ET2
2023-08-29T21:30:00Z,2023-08-30T01:45:00Z,ET2
2023-08-31T01:00:00Z,2023-08-31T04:15:00Z,ET2
2023-09-11T22:45:00Z,2023-09-12T02:45:00Z,ET2
2023-09-26T18:00:00Z,2023-09-26T23:30:00Z,ET2
2023-09-28T20:30:00Z,2023-09-29T05:30:00Z,ET2
2023-10-01T21:15:00Z,2023-10-02T03:00:00Z,ET2
2023-10-03T23:00:00Z,2023-10-04T03:30:00Z,ET2
2023-10-14T22:00:00Z,2023-10-15T02:45:00Z,ET2
2023-10-20T00:30:00Z,2023-10-20T05:30:00Z,ET2
2023-10-23T02:15:00Z,2023-10-23T05:30:00Z,ET2
2023-10-24T22:30:00Z,2023-10-25T05:30:00Z,ET2
2023-10-25T23:45:00Z,2023-10-26T05:30:00Z,ET2
2023-10-30T00:15:00Z,2023-10-30T03:45:00Z,ET2
2023-11-04T18:00:00Z,2023-11-05T04:30:00Z,ET2
2023-11-05T23:15:00Z,2023-11-06T03:45:00Z,ET2
2023-11-06T20:00:00Z,2023-11-07T00:30:00Z,ET2
2023-11-07T01:45:00Z,2023-11-07T05:45:00Z,ET2
2023-11-09T18:00:00Z,2023-11-09T23:00:00Z,ET2
2023-11-12T23:00:00Z,2023-11-13T02:30:00Z,ET2
2023-11-14T20:30:00Z,2023-11-15T03:00:00Z,ET2
2023-11-15T18:00:00Z,2023-11-15T22:45:00Z,ET2
2023-11-17T21:45:00Z,2023-11-18T03:30:00Z,ET2
2023-11-20T21:15:00Z,2023-11-21T01:30:00Z,ET2
2023-11-24T18:00:00Z,2023-11-25T01:15:00Z,ET2
2023-11-25T01:45:00Z,2023-11-25T04:45:00Z,ET2
2023-11-25T21:15:00Z,2023-11-26T04:00:00Z,ET2
2023-11-26T21:30:00Z,2023-11-27T00:45:00Z,ET2
2023-11-29T23:00:00Z,2023-11-30T02:15:00Z,ET2
2022-07-04T00:15:00Z,2022-07-04T04:15:00Z,ET3
2022-07-04T22:00:00Z,2022-07-05T05:45:00Z,ET3
2022-07-10T00:45:00Z,2022-07-10T05:45:00Z,ET3
2022-07-20T00:15:00Z,2022-07-20T05:45:00Z,ET3
2022-07-22T22:15:00Z,2022-07-23T01:15:00Z,ET3
2022-07-24T00:45:00Z,2022-07-24T03:45:00Z,ET3
2022-07-27T22:00:00Z,2022-07-28T04:00:00Z,ET3
2022-07-31T18:15:00Z,2022-07-31T21:15:00Z,ET3
2022-08-04T18:45:00Z,2022-08-05T00:00:00Z,ET3
2022-08-13T00:30:00Z,2022-08-13T05:45:00Z,ET3
2022-08-20T20:00:00Z,2022-08-20T23:00:00Z,ET3
2022-09-02T01:15:00Z,2022-09-02T06:00:00Z,ET3
2022-09-05T01:30:00Z,2022-09-05T05:30:00Z,ET3
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET3
2022-09-17T00:45:00Z,2022-09-17T05:00:00Z,ET3
2022-09-29T02:30:00Z,2022-09-29T05:30:00Z,ET3
2022-10-03T00:00:00Z,2022-10-03T05:45:00Z,ET3
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET3
2022-10-05T19:30:00Z,2022-10-06T00:15:00Z,ET3
2022-10-11T21:30:00Z,2022-10-12T01:15:00Z,ET3
2022-11-04T18:30:00Z,2022-11-04T22:00:00Z,ET3
2022-11-14T00:45:00Z,2022-11-14T03:45:00Z,ET3
2022-11-16T02:15:00Z,2022-11-16T05:45:00Z,ET3
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET3
2022-11-29T22:30:00Z,2022-11-30T06:00:00Z,ET3
2022-12-02T00:45:00Z,2022-12-02T05:00:00Z,ET3
2022-12-04T19:00:00Z,2022-12-05T01:00:00Z,ET3
2022-12-06T22:00:00Z,2022-12-07T02:15:00Z,ET3
2022-12-07T23:00:00Z,2022-12-08T02:00:00Z,ET3
2022-12-14T19:15:00Z,2022-12-14T22:15:00Z,ET3
2022-12-16T21:00:00Z,2022-12-17T03:15:00Z,ET3
2023-01-09T21:45:00Z,2023-01-10T03:30:00Z,ET3
2023-01-18T01:30:00Z,2023-01-18T06:00:00Z,ET3
2023-01-19T18:45:00Z,2023-01-19T22:00:00Z,ET3
2023-01-30T18:00:00Z,2023-01-30T21:45:00Z,ET3
2023-02-16T01:00:00Z,2023-02-16T06:00:00Z,ET3
2023-02-28T19:15:00Z,2023-02-28T23:00:00Z,ET3
2023-03-02T18:00:00Z,2023-03-02T22:45:00Z,ET3
2023-03-08T19:30:00Z,2023-03-08T23:00:00Z,ET3
2023-03-20T18:00:00Z,2023-03-20T22:30:00Z,ET3
2023-04-12T20:00:00Z,2023-04-13T00:15:00Z,ET3
2023-06-20T01:15:00Z,2023-06-20T05:30:00Z,ET3
2023-07-05T19:30:00Z,2023-07-06T03:00:00Z,ET3
2023-07-22T00:00:00Z,2023-07-22T04:30:00Z,ET3
2023-07-27T20:30:00Z,2023-07-28T01:00:00Z,ET3
2023-07-28T18:00:00Z,2023-07-28T22:00:00Z,ET3
2023-07-30T19:45:00Z,2023-07-30T23:45:00Z,ET3
2023-07-31T21:00:00Z,2023-08-01T05:45:00Z,ET3
2023-08-03T22:30:00Z,2023-08-04T02:00:00Z,ET3
2023-08-10T22:15:00Z,2023-08-11T01:30:00Z,ET3
2023-08-18T00:45:00Z,2023-08-18T05:15:00Z,ET3
2023-08-19T21:00:00Z,2023-08-20T00:00:00Z,ET3
2023-08-21T01:30:00Z,2023-08-21T05:45:00Z,ET3
2023-08-26T00:00:00Z,2023-08-26T04:30:00Z,ET3
2023-08-31T00:45:00Z,2023-08-31T04:15:00Z,ET3
2023-09-11T23:15:00Z,2023-09-12T02:30:00Z,ET3
2023-11-04T20:00:00Z,2023-11-05T04:30:00Z,ET3
2023-11-06T22:45:00Z,2023-11-07T03:00:00Z,ET3
2023-11-09T18:00:00Z,2023-11-09T23:00:00Z,ET3
2023-11-24T20:45:00Z,2023-11-25T01:00:00Z,ET3
2022-07-04T00:15:00Z,2022-07-04T04:30:00Z,ET4
2022-07-04T21:45:00Z,2022-07-05T05:45:00Z,ET4
2022-07-05T23:45:00Z,2022-07-06T05:30:00Z,ET4
2022-07-09T23:45:00Z,2022-07-10T05:30:00Z,ET4
2022-07-12T01:00:00Z,2022-07-12T04:45:00Z,ET4
2022-07-19T23:30:00Z,2022-07-20T06:00:00Z,ET4
2022-07-23T01:15:00Z,2022-07-23T04:30:00Z,ET4
2022-07-25T20:45:00Z,2022-07-26T00:00:00Z,ET4
2022-08-06T22:15:00Z,2022-08-07T02:15:00Z,ET4
2022-08-13T00:30:00Z,2022-08-13T05:45:00Z,ET4
2022-08-20T20:00:00Z,2022-08-20T23:00:00Z,ET4
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,ET4
2022-09-05T02:30:00Z,2022-09-05T05:30:00Z,ET4
2022-09-12T00:45:00Z,2022-09-12T04:30:00Z,ET4
2022-10-03T00:15:00Z,2022-10-03T05:45:00Z,ET4
2022-10-05T23:30:00Z,2022-10-06T03:15:00Z,ET4
2022-10-14T00:15:00Z,2022-10-14T04:15:00Z,ET4
