Tree,Cable,Timestamp,baseline_inner,baseline_middle,baseline_outer
FB1,4b,2023-08-26T04:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T04:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T04:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T05:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T05:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T05:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T05:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T06:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T06:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T06:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T06:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T07:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T07:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T07:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T07:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T08:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T08:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T08:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T08:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T09:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T09:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T09:30:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T09:45:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T10:00:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T10:15:00Z,no_bl_val,no_bl_val,no_bl_val
FB1,4b,2023-08-26T10:30:00Z,no_bl_val,no_bl_val,no_bl_val
