periodBegin,periodEnd,Tree
2023-06-26T01:00:00Z,2023-06-26T05:30:00Z,TV3
2023-07-05T19:30:00Z,2023-07-05T23:45:00Z,TV3
2023-07-19T21:30:00Z,2023-07-20T01:15:00Z,TV3
2023-07-27T02:15:00Z,2023-07-27T05:30:00Z,TV3
2023-07-30T22:45:00Z,2023-07-31T05:30:00Z,TV3
2023-07-31T23:30:00Z,2023-08-01T02:30:00Z,TV3
2023-08-03T20:00:00Z,2023-08-04T00:00:00Z,TV3
2023-08-12T23:30:00Z,2023-08-13T02:30:00Z,TV3
2023-08-13T22:30:00Z,2023-08-14T03:45:00Z,TV3
2023-08-19T23:45:00Z,2023-08-20T03:15:00Z,TV3
2023-08-28T18:15:00Z,2023-08-29T01:45:00Z,TV3
2023-08-29T18:00:00Z,2023-08-29T23:30:00Z,TV3
2023-08-31T02:15:00Z,2023-08-31T05:30:00Z,TV3
2023-09-02T00:15:00Z,2023-09-02T03:45:00Z,TV3
2023-09-05T01:00:00Z,2023-09-05T05:15:00Z,TV3
2023-09-08T22:15:00Z,2023-09-09T05:30:00Z,TV3
2023-09-26T18:00:00Z,2023-09-26T22:30:00Z,TV3
2023-10-04T22:15:00Z,2023-10-05T02:45:00Z,TV3
2023-10-20T01:30:00Z,2023-10-20T05:15:00Z,TV3
2023-10-21T18:00:00Z,2023-10-21T22:30:00Z,TV3
2023-10-21T23:15:00Z,2023-10-22T05:30:00Z,TV3
2023-11-02T18:00:00Z,2023-11-02T21:45:00Z,TV3
2023-11-02T23:00:00Z,2023-11-03T02:15:00Z,TV3
2023-11-10T19:15:00Z,2023-11-11T02:30:00Z,TV3
2023-11-13T00:00:00Z,2023-11-13T03:45:00Z,TV3
2023-11-26T23:30:00Z,2023-11-27T03:30:00Z,TV3
2023-12-03T18:00:00Z,2023-12-03T21:30:00Z,TV3
2023-12-08T21:00:00Z,2023-12-09T01:15:00Z,TV3
2023-12-09T23:00:00Z,2023-12-10T03:45:00Z,TV3
2024-01-06T18:00:00Z,2024-01-07T00:30:00Z,TV3
2024-01-11T03:00:00Z,2024-01-11T06:00:00Z,TV3
