periodBegin,periodEnd,Tree
2022-07-19T23:15:00Z,2022-07-20T05:45:00Z,ET5
2022-07-23T01:15:00Z,2022-07-23T04:30:00Z,ET5
2022-08-13T00:30:00Z,2022-08-13T05:30:00Z,ET5
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET5
2022-10-03T00:00:00Z,2022-10-03T03:00:00Z,ET5
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET5
2022-10-05T20:00:00Z,2022-10-06T05:30:00Z,ET5
2022-11-14T00:45:00Z,2022-11-14T04:00:00Z,ET5
2022-11-28T23:45:00Z,2022-11-29T02:45:00Z,ET5
2022-11-29T22:30:00Z,2022-11-30T03:00:00Z,ET5
2022-12-04T18:30:00Z,2022-12-04T23:15:00Z,ET5
2022-12-07T00:00:00Z,2022-12-07T05:45:00Z,ET5
2022-12-07T22:00:00Z,2022-12-08T01:00:00Z,ET5
2022-12-08T19:45:00Z,2022-12-09T00:00:00Z,ET5
2022-12-12T18:15:00Z,2022-12-12T21:45:00Z,ET5
2022-12-28T22:30:00Z,2022-12-29T04:30:00Z,ET5
2023-01-09T21:00:00Z,2023-01-10T05:30:00Z,ET5
2023-01-11T22:00:00Z,2023-01-12T01:45:00Z,ET5
2023-01-25T01:30:00Z,2023-01-25T05:15:00Z,ET5
2023-03-08T19:15:00Z,2023-03-09T04:15:00Z,ET5
2023-04-20T19:15:00Z,2023-04-20T23:00:00Z,ET5
2023-05-01T23:45:00Z,2023-05-02T03:15:00Z,ET5
2023-05-03T20:30:00Z,2023-05-04T00:00:00Z,ET5
2023-05-09T19:45:00Z,2023-05-09T22:45:00Z,ET5
2023-06-11T18:45:00Z,2023-06-11T23:30:00Z,ET5
2023-06-28T00:00:00Z,2023-06-28T05:15:00Z,ET5
2023-07-10T02:00:00Z,2023-07-10T05:15:00Z,ET5
2023-07-21T23:45:00Z,2023-07-22T03:15:00Z,ET5
2023-07-28T18:15:00Z,2023-07-28T21:45:00Z,ET5
2023-07-30T22:15:00Z,2023-07-31T01:45:00Z,ET5
2023-07-31T19:30:00Z,2023-08-01T00:30:00Z,ET5
2023-08-01T01:00:00Z,2023-08-01T05:30:00Z,ET5
2023-08-09T21:45:00Z,2023-08-10T01:15:00Z,ET5
2023-08-28T18:30:00Z,2023-08-28T21:45:00Z,ET5
2023-08-31T01:00:00Z,2023-08-31T05:30:00Z,ET5
2023-09-09T00:15:00Z,2023-09-09T05:30:00Z,ET5
2023-09-27T23:30:00Z,2023-09-28T04:30:00Z,ET5
2023-09-28T22:45:00Z,2023-09-29T05:30:00Z,ET5
2023-11-03T01:45:00Z,2023-11-03T05:00:00Z,ET5
2023-11-04T22:30:00Z,2023-11-05T04:15:00Z,ET5
2023-11-09T18:00:00Z,2023-11-09T23:30:00Z,ET5
2023-11-10T23:15:00Z,2023-11-11T02:30:00Z,ET5
2023-11-14T21:00:00Z,2023-11-15T00:15:00Z,ET5
2023-11-24T19:45:00Z,2023-11-25T01:30:00Z,ET5
2023-11-25T22:45:00Z,2023-11-26T04:15:00Z,ET5
2023-12-08T21:00:00Z,2023-12-09T01:00:00Z,ET5
2023-12-20T23:30:00Z,2023-12-21T02:30:00Z,ET5
2023-12-28T02:30:00Z,2023-12-28T05:30:00Z,ET5
2023-12-30T20:00:00Z,2023-12-30T23:45:00Z,ET5
2024-01-07T00:00:00Z,2024-01-07T05:30:00Z,ET5
2024-01-09T21:15:00Z,2024-01-10T00:30:00Z,ET5
2024-01-10T01:15:00Z,2024-01-10T06:00:00Z,ET5
2024-01-11T18:00:00Z,2024-01-11T21:00:00Z,ET5
2024-01-11T21:45:00Z,2024-01-12T06:00:00Z,ET5
2024-01-12T18:00:00Z,2024-01-13T01:00:00Z,ET5
2024-01-26T18:45:00Z,2024-01-26T22:30:00Z,ET5
2024-02-06T20:30:00Z,2024-02-07T01:45:00Z,ET5
2024-02-11T20:30:00Z,2024-02-12T06:00:00Z,ET5
2024-02-22T23:15:00Z,2024-02-23T05:45:00Z,ET5
2024-02-24T19:30:00Z,2024-02-24T23:15:00Z,ET5
2024-02-27T19:15:00Z,2024-02-27T23:15:00Z,ET5
2024-03-09T01:30:00Z,2024-03-09T05:00:00Z,ET5
2024-03-09T18:30:00Z,2024-03-09T21:30:00Z,ET5
2024-04-07T18:00:00Z,2024-04-08T00:00:00Z,ET5
2024-04-28T21:00:00Z,2024-04-29T00:30:00Z,ET5
2024-05-12T20:45:00Z,2024-05-13T03:30:00Z,ET5
2024-05-26T18:45:00Z,2024-05-26T22:00:00Z,ET5
