periodBegin,periodEnd,Tree
2022-07-05T00:45:00Z,2022-07-05T05:30:00Z,ET1
2022-07-16T22:30:00Z,2022-07-17T01:30:00Z,ET1
2022-07-20T00:15:00Z,2022-07-20T05:30:00Z,ET1
2022-07-29T23:15:00Z,2022-07-30T02:15:00Z,ET1
2022-08-13T00:15:00Z,2022-08-13T05:30:00Z,ET1
2022-08-18T00:15:00Z,2022-08-18T04:00:00Z,ET1
2022-08-20T20:00:00Z,2022-08-20T23:00:00Z,ET1
2022-09-12T01:00:00Z,2022-09-12T04:15:00Z,ET1
2022-10-03T18:15:00Z,2022-10-03T21:45:00Z,ET1
2022-10-14T01:00:00Z,2022-10-14T04:00:00Z,ET1
2022-10-14T23:30:00Z,2022-10-15T03:15:00Z,ET1
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET1
2022-11-27T22:30:00Z,2022-11-28T03:00:00Z,ET1
2022-11-28T23:00:00Z,2022-11-29T02:45:00Z,ET1
2022-12-02T01:00:00Z,2022-12-02T04:30:00Z,ET1
2022-12-03T18:15:00Z,2022-12-03T21:45:00Z,ET1
2022-12-06T22:00:00Z,2022-12-07T01:15:00Z,ET1
2023-03-20T19:00:00Z,2023-03-20T22:30:00Z,ET1
