periodBegin,periodEnd,Tree
2022-06-23T02:45:00Z,2022-06-23T06:00:00Z,FB5
2022-06-25T00:45:00Z,2022-06-25T05:15:00Z,FB5
2022-06-26T19:30:00Z,2022-06-26T22:30:00Z,FB5
2022-06-27T02:45:00Z,2022-06-27T05:45:00Z,FB5
2022-06-28T01:00:00Z,2022-06-28T05:45:00Z,FB5
2022-07-02T18:00:00Z,2022-07-02T21:00:00Z,FB5
2022-07-03T22:30:00Z,2022-07-04T02:00:00Z,FB5
2022-07-04T19:15:00Z,2022-07-05T05:45:00Z,FB5
2022-07-05T19:00:00Z,2022-07-06T05:45:00Z,FB5
2022-08-19T23:15:00Z,2022-08-20T04:00:00Z,FB5
2022-08-20T19:15:00Z,2022-08-21T00:00:00Z,FB5
2022-08-25T02:30:00Z,2022-08-25T05:30:00Z,FB5
2022-08-26T20:00:00Z,2022-08-27T02:30:00Z,FB5
2022-08-27T18:00:00Z,2022-08-27T22:30:00Z,FB5
2022-09-01T18:00:00Z,2022-09-01T22:15:00Z,FB5
2022-09-03T23:00:00Z,2022-09-04T03:15:00Z,FB5
2022-09-06T23:00:00Z,2022-09-07T05:45:00Z,FB5
2022-09-12T00:45:00Z,2022-09-12T05:00:00Z,FB5
2022-09-16T00:45:00Z,2022-09-16T06:00:00Z,FB5
2022-09-29T02:00:00Z,2022-09-29T05:30:00Z,FB5
2022-09-30T00:45:00Z,2022-09-30T04:30:00Z,FB5
2022-10-05T19:15:00Z,2022-10-05T23:45:00Z,FB5
2022-10-06T00:15:00Z,2022-10-06T05:30:00Z,FB5
2022-10-06T18:00:00Z,2022-10-06T21:15:00Z,FB5
2022-10-12T20:15:00Z,2022-10-13T00:00:00Z,FB5
2022-10-16T01:15:00Z,2022-10-16T05:30:00Z,FB5
2022-10-24T01:15:00Z,2022-10-24T05:30:00Z,FB5
2022-10-24T18:15:00Z,2022-10-25T05:30:00Z,FB5
2022-10-31T18:00:00Z,2022-10-31T21:45:00Z,FB5
2022-11-03T01:15:00Z,2022-11-03T05:30:00Z,FB5
2022-11-03T21:15:00Z,2022-11-04T06:00:00Z,FB5
2022-11-08T02:00:00Z,2022-11-08T05:30:00Z,FB5
2022-11-13T22:45:00Z,2022-11-14T05:45:00Z,FB5
2022-11-16T22:30:00Z,2022-11-17T01:45:00Z,FB5
2022-11-25T02:30:00Z,2022-11-25T05:45:00Z,FB5
2022-11-29T23:30:00Z,2022-11-30T03:00:00Z,FB5
2022-12-01T22:15:00Z,2022-12-02T03:15:00Z,FB5
2022-12-05T19:00:00Z,2022-12-05T22:30:00Z,FB5
2022-12-08T02:30:00Z,2022-12-08T06:00:00Z,FB5
2022-12-08T20:00:00Z,2022-12-09T00:15:00Z,FB5
2022-12-12T18:00:00Z,2022-12-12T23:30:00Z,FB5
2022-12-14T19:15:00Z,2022-12-14T22:45:00Z,FB5
2022-12-15T01:30:00Z,2022-12-15T06:00:00Z,FB5
2022-12-16T01:15:00Z,2022-12-16T04:30:00Z,FB5
2022-12-16T22:00:00Z,2022-12-17T01:15:00Z,FB5
2022-12-26T18:30:00Z,2022-12-26T21:30:00Z,FB5
2022-12-27T23:30:00Z,2022-12-28T02:30:00Z,FB5
2022-12-29T02:30:00Z,2022-12-29T06:00:00Z,FB5
2023-01-08T00:45:00Z,2023-01-08T06:00:00Z,FB5
2023-01-09T21:15:00Z,2023-01-10T06:00:00Z,FB5
2023-01-10T22:30:00Z,2023-01-11T06:00:00Z,FB5
2023-01-13T18:00:00Z,2023-01-14T03:00:00Z,FB5
2023-01-19T18:00:00Z,2023-01-19T23:00:00Z,FB5
2023-01-23T00:15:00Z,2023-01-23T05:15:00Z,FB5
2023-01-25T02:00:00Z,2023-01-25T06:00:00Z,FB5
2023-01-30T02:30:00Z,2023-01-30T06:00:00Z,FB5
2023-02-09T02:30:00Z,2023-02-09T06:00:00Z,FB5
2023-02-22T18:00:00Z,2023-02-22T22:45:00Z,FB5
2023-02-26T23:45:00Z,2023-02-27T06:00:00Z,FB5
2023-03-01T00:45:00Z,2023-03-01T06:00:00Z,FB5
2023-03-01T18:00:00Z,2023-03-02T06:00:00Z,FB5
2023-03-02T18:00:00Z,2023-03-03T01:15:00Z,FB5
2023-03-03T18:15:00Z,2023-03-04T00:00:00Z,FB5
2023-03-04T00:30:00Z,2023-03-04T06:00:00Z,FB5
2023-03-05T22:15:00Z,2023-03-06T01:45:00Z,FB5
2023-03-08T18:00:00Z,2023-03-08T23:30:00Z,FB5
2023-04-01T21:15:00Z,2023-04-02T01:30:00Z,FB5
2023-04-05T19:15:00Z,2023-04-06T02:15:00Z,FB5
2023-04-08T23:30:00Z,2023-04-09T05:00:00Z,FB5
2023-04-11T18:15:00Z,2023-04-11T21:30:00Z,FB5
2023-04-12T19:30:00Z,2023-04-13T03:00:00Z,FB5
2023-04-16T18:15:00Z,2023-04-16T23:00:00Z,FB5
2023-04-20T19:00:00Z,2023-04-20T23:45:00Z,FB5
2023-05-03T20:30:00Z,2023-05-03T23:45:00Z,FB5
2023-05-05T19:00:00Z,2023-05-05T22:45:00Z,FB5
2023-05-09T19:30:00Z,2023-05-09T23:00:00Z,FB5
2023-05-20T01:45:00Z,2023-05-20T05:15:00Z,FB5
2023-06-11T18:00:00Z,2023-06-12T05:30:00Z,FB5
2023-06-19T01:00:00Z,2023-06-19T05:15:00Z,FB5
2023-06-20T02:30:00Z,2023-06-20T05:30:00Z,FB5
2023-06-23T22:45:00Z,2023-06-24T04:45:00Z,FB5
2023-06-25T18:15:00Z,2023-06-25T21:15:00Z,FB5
2023-06-28T00:30:00Z,2023-06-28T05:30:00Z,FB5
2023-07-05T18:15:00Z,2023-07-05T23:30:00Z,FB5
2023-07-10T18:30:00Z,2023-07-10T21:30:00Z,FB5
2023-07-12T00:15:00Z,2023-07-12T04:30:00Z,FB5
2023-07-17T02:30:00Z,2023-07-17T05:45:00Z,FB5
2023-07-19T21:15:00Z,2023-07-20T00:15:00Z,FB5
2023-07-25T19:30:00Z,2023-07-25T23:15:00Z,FB5
2023-07-28T18:00:00Z,2023-07-28T21:30:00Z,FB5
2023-08-09T22:00:00Z,2023-08-10T02:00:00Z,FB5
2023-08-13T20:45:00Z,2023-08-14T01:45:00Z,FB5
2023-08-16T20:00:00Z,2023-08-17T00:30:00Z,FB5
2023-08-25T22:30:00Z,2023-08-26T02:15:00Z,FB5
2023-08-28T18:00:00Z,2023-08-29T02:00:00Z,FB5
2023-08-29T18:00:00Z,2023-08-29T22:30:00Z,FB5
2023-09-01T20:30:00Z,2023-09-02T00:15:00Z,FB5
2023-09-02T20:45:00Z,2023-09-03T01:30:00Z,FB5
2023-09-05T00:30:00Z,2023-09-05T05:30:00Z,FB5
2023-09-05T23:15:00Z,2023-09-06T05:00:00Z,FB5
2023-09-08T21:45:00Z,2023-09-09T05:45:00Z,FB5
2023-09-13T18:15:00Z,2023-09-13T21:15:00Z,FB5
2023-09-16T01:30:00Z,2023-09-16T05:15:00Z,FB5
2023-09-22T18:00:00Z,2023-09-22T21:00:00Z,FB5
2023-09-23T18:00:00Z,2023-09-23T21:45:00Z,FB5
2023-09-26T19:30:00Z,2023-09-26T23:30:00Z,FB5
2023-09-27T23:00:00Z,2023-09-28T05:30:00Z,FB5
2023-09-28T22:15:00Z,2023-09-29T01:45:00Z,FB5
2023-10-21T19:45:00Z,2023-10-22T05:45:00Z,FB5
2023-11-03T01:00:00Z,2023-11-03T04:30:00Z,FB5
2023-11-05T01:15:00Z,2023-11-05T04:15:00Z,FB5
2023-11-09T18:00:00Z,2023-11-09T23:15:00Z,FB5
2023-11-12T23:30:00Z,2023-11-13T05:30:00Z,FB5
