periodBegin,periodEnd,Tree
2022-06-27T02:30:00Z,2022-06-27T05:30:00Z,ET2
2022-07-04T01:15:00Z,2022-07-04T05:15:00Z,ET2
2022-07-04T20:30:00Z,2022-07-05T02:45:00Z,ET2
2022-07-09T22:45:00Z,2022-07-10T01:45:00Z,ET2
2022-07-13T23:45:00Z,2022-07-14T05:00:00Z,ET2
2022-07-20T00:15:00Z,2022-07-20T05:45:00Z,ET2
2022-07-22T19:15:00Z,2022-07-23T01:15:00Z,ET2
2022-08-04T21:00:00Z,2022-08-05T00:45:00Z,ET2
2022-08-09T23:15:00Z,2022-08-10T02:45:00Z,ET2
2022-08-12T23:45:00Z,2022-08-13T05:45:00Z,ET2
2022-08-13T19:30:00Z,2022-08-14T00:00:00Z,ET2
2022-08-17T23:15:00Z,2022-08-18T02:15:00Z,ET2
2022-08-20T20:00:00Z,2022-08-20T23:00:00Z,ET2
2022-08-21T23:45:00Z,2022-08-22T03:15:00Z,ET2
2022-08-24T01:45:00Z,2022-08-24T04:45:00Z,ET2
2022-08-28T02:15:00Z,2022-08-28T05:30:00Z,ET2
2022-09-03T23:00:00Z,2022-09-04T03:00:00Z,ET2
2022-09-07T22:15:00Z,2022-09-08T05:30:00Z,ET2
2022-09-12T00:45:00Z,2022-09-12T04:15:00Z,ET2
2022-09-29T18:00:00Z,2022-09-29T21:15:00Z,ET2
2022-09-29T22:15:00Z,2022-09-30T03:45:00Z,ET2
2022-10-03T00:00:00Z,2022-10-03T03:00:00Z,ET2
2022-10-03T18:00:00Z,2022-10-03T22:00:00Z,ET2
2022-10-05T19:15:00Z,2022-10-06T03:15:00Z,ET2
2022-10-15T23:30:00Z,2022-10-16T05:30:00Z,ET2
2022-10-25T00:45:00Z,2022-10-25T05:30:00Z,ET2
2022-11-13T01:45:00Z,2022-11-13T05:45:00Z,ET2
2022-11-14T00:45:00Z,2022-11-14T04:00:00Z,ET2
2022-11-16T01:45:00Z,2022-11-16T05:30:00Z,ET2
2022-11-21T23:45:00Z,2022-11-22T04:15:00Z,ET2
2022-11-29T22:30:00Z,2022-11-30T03:00:00Z,ET2
2022-12-02T00:45:00Z,2022-12-02T04:45:00Z,ET2
2022-12-03T18:15:00Z,2022-12-03T22:30:00Z,ET2
2022-12-04T19:15:00Z,2022-12-04T23:15:00Z,ET2
2022-12-06T22:45:00Z,2022-12-07T02:15:00Z,ET2
2022-12-07T23:00:00Z,2022-12-08T02:15:00Z,ET2
2022-12-09T02:15:00Z,2022-12-09T05:30:00Z,ET2
2022-12-14T19:15:00Z,2022-12-14T22:15:00Z,ET2
2022-12-17T00:15:00Z,2022-12-17T03:15:00Z,ET2
2022-12-28T22:30:00Z,2022-12-29T03:45:00Z,ET2
2023-01-01T20:15:00Z,2023-01-01T23:30:00Z,ET2
2023-01-10T00:00:00Z,2023-01-10T03:30:00Z,ET2
2023-01-11T22:00:00Z,2023-01-12T01:30:00Z,ET2
2023-01-18T00:45:00Z,2023-01-18T04:00:00Z,ET2
2023-01-19T18:45:00Z,2023-01-19T22:00:00Z,ET2
2023-02-28T19:15:00Z,2023-02-28T22:45:00Z,ET2
2023-03-02T18:00:00Z,2023-03-02T22:30:00Z,ET2
2023-03-08T19:15:00Z,2023-03-08T23:15:00Z,ET2
