periodBegin,periodEnd,Tree
2022-08-22T01:00:00Z,2022-08-22T04:45:00Z,TV4
2022-08-24T23:15:00Z,2022-08-25T05:45:00Z,TV4
2022-08-27T21:00:00Z,2022-08-28T05:30:00Z,TV4
2022-09-01T22:45:00Z,2022-09-02T04:00:00Z,TV4
2022-09-03T23:00:00Z,2022-09-04T03:00:00Z,TV4
2022-09-08T02:00:00Z,2022-09-08T05:45:00Z,TV4
2022-09-11T22:00:00Z,2022-09-12T01:15:00Z,TV4
2022-09-14T02:00:00Z,2022-09-14T05:30:00Z,TV4
2022-09-18T21:15:00Z,2022-09-19T01:15:00Z,TV4
2022-09-25T18:30:00Z,2022-09-25T21:30:00Z,TV4
2022-10-03T00:00:00Z,2022-10-03T05:30:00Z,TV4
2022-10-05T20:15:00Z,2022-10-06T01:30:00Z,TV4
2022-10-12T18:15:00Z,2022-10-12T23:45:00Z,TV4
2022-10-23T00:15:00Z,2022-10-23T05:15:00Z,TV4
2022-11-13T23:15:00Z,2022-11-14T04:15:00Z,TV4
2022-12-04T02:15:00Z,2022-12-04T05:45:00Z,TV4
2023-02-28T23:15:00Z,2023-03-01T06:00:00Z,TV4
2023-03-08T18:15:00Z,2023-03-08T22:30:00Z,TV4
2023-03-11T19:30:00Z,2023-03-11T23:00:00Z,TV4
2023-03-17T18:30:00Z,2023-03-18T02:30:00Z,TV4
2023-04-01T22:30:00Z,2023-04-02T03:15:00Z,TV4
2023-04-05T22:30:00Z,2023-04-06T02:30:00Z,TV4
