periodBegin,periodEnd,Tree
2022-06-26T18:15:00Z,2022-06-27T01:45:00Z,TV1
2022-06-28T00:00:00Z,2022-06-28T05:30:00Z,TV1
2022-07-04T20:00:00Z,2022-07-05T02:15:00Z,TV1
2022-07-05T23:00:00Z,2022-07-06T05:30:00Z,TV1
2022-07-12T23:15:00Z,2022-07-13T04:15:00Z,TV1
2022-07-19T22:45:00Z,2022-07-20T03:00:00Z,TV1
2022-07-22T18:30:00Z,2022-07-23T05:45:00Z,TV1
2022-07-29T22:45:00Z,2022-07-30T02:00:00Z,TV1
2022-08-06T21:30:00Z,2022-08-07T05:45:00Z,TV1
2022-08-10T01:30:00Z,2022-08-10T05:00:00Z,TV1
2022-08-12T23:00:00Z,2022-08-13T05:30:00Z,TV1
2022-08-18T00:30:00Z,2022-08-18T04:00:00Z,TV1
2022-08-20T18:15:00Z,2022-08-20T23:15:00Z,TV1
2022-08-21T20:45:00Z,2022-08-22T02:45:00Z,TV1
2022-08-26T23:00:00Z,2022-08-27T02:00:00Z,TV1
2022-08-27T18:00:00Z,2022-08-28T01:00:00Z,TV1
2022-09-03T23:00:00Z,2022-09-04T03:00:00Z,TV1
2022-09-10T23:30:00Z,2022-09-11T02:45:00Z,TV1
2022-09-12T02:15:00Z,2022-09-12T05:15:00Z,TV1
2022-09-25T18:30:00Z,2022-09-25T21:30:00Z,TV1
2022-09-28T00:00:00Z,2022-09-28T05:30:00Z,TV1
2022-10-02T22:00:00Z,2022-10-03T05:30:00Z,TV1
2022-10-12T01:15:00Z,2022-10-12T05:15:00Z,TV1
2022-10-22T23:15:00Z,2022-10-23T02:30:00Z,TV1
2022-11-03T21:00:00Z,2022-11-04T05:30:00Z,TV1
2022-11-13T02:15:00Z,2022-11-13T05:45:00Z,TV1
2022-11-13T23:00:00Z,2022-11-14T05:00:00Z,TV1
2022-11-21T18:00:00Z,2022-11-21T21:30:00Z,TV1
2022-11-29T00:00:00Z,2022-11-29T03:15:00Z,TV1
2022-11-30T01:45:00Z,2022-11-30T05:45:00Z,TV1
2022-12-04T02:15:00Z,2022-12-04T05:45:00Z,TV1
2022-12-07T21:45:00Z,2022-12-08T00:45:00Z,TV1
2022-12-29T01:30:00Z,2022-12-29T04:45:00Z,TV1
2023-01-02T02:45:00Z,2023-01-02T05:45:00Z,TV1
2023-01-09T21:30:00Z,2023-01-10T01:30:00Z,TV1
2023-01-11T03:00:00Z,2023-01-11T06:00:00Z,TV1
2023-01-18T22:30:00Z,2023-01-19T01:30:00Z,TV1
2023-01-25T01:45:00Z,2023-01-25T05:15:00Z,TV1
2023-02-21T00:00:00Z,2023-02-21T03:15:00Z,TV1
2023-02-26T21:45:00Z,2023-02-27T01:45:00Z,TV1
2023-02-27T02:15:00Z,2023-02-27T06:00:00Z,TV1
2023-02-28T18:00:00Z,2023-03-01T06:00:00Z,TV1
2023-03-03T22:00:00Z,2023-03-04T06:00:00Z,TV1
2023-03-05T21:00:00Z,2023-03-06T01:30:00Z,TV1
2023-03-08T18:00:00Z,2023-03-08T22:30:00Z,TV1
2023-03-11T18:00:00Z,2023-03-11T22:45:00Z,TV1
2023-03-14T21:15:00Z,2023-03-15T05:45:00Z,TV1
2023-03-17T18:15:00Z,2023-03-18T01:45:00Z,TV1
2023-03-29T00:45:00Z,2023-03-29T04:00:00Z,TV1
2023-04-01T21:45:00Z,2023-04-02T03:30:00Z,TV1
2023-04-05T19:15:00Z,2023-04-06T02:30:00Z,TV1
2023-04-07T00:45:00Z,2023-04-07T05:30:00Z,TV1
2023-04-24T22:00:00Z,2023-04-25T03:00:00Z,TV1
2023-04-26T22:30:00Z,2023-04-27T03:30:00Z,TV1
2023-04-28T18:45:00Z,2023-04-29T00:45:00Z,TV1
2023-05-01T18:30:00Z,2023-05-01T23:45:00Z,TV1
2023-05-03T00:30:00Z,2023-05-03T04:00:00Z,TV1
2023-05-25T22:30:00Z,2023-05-26T03:00:00Z,TV1
2023-06-06T18:15:00Z,2023-06-06T22:45:00Z,TV1
2023-06-07T02:00:00Z,2023-06-07T05:15:00Z,TV1
2023-06-19T00:15:00Z,2023-06-19T05:30:00Z,TV1
2023-06-23T18:45:00Z,2023-06-24T00:30:00Z,TV1
2023-06-25T21:45:00Z,2023-06-26T05:30:00Z,TV1
2023-07-04T01:30:00Z,2023-07-04T05:30:00Z,TV1
2023-07-05T18:45:00Z,2023-07-06T05:30:00Z,TV1
2023-07-07T00:00:00Z,2023-07-07T05:00:00Z,TV1
2023-07-07T21:00:00Z,2023-07-08T04:00:00Z,TV1
2023-07-10T02:15:00Z,2023-07-10T05:15:00Z,TV1
2023-07-11T23:30:00Z,2023-07-12T04:30:00Z,TV1
2023-07-22T00:30:00Z,2023-07-22T04:00:00Z,TV1
2023-07-28T20:00:00Z,2023-07-29T00:00:00Z,TV1
2023-08-13T22:30:00Z,2023-08-14T02:00:00Z,TV1
2023-08-18T02:00:00Z,2023-08-18T05:45:00Z,TV1
2023-08-22T02:30:00Z,2023-08-22T05:30:00Z,TV1
2023-08-25T00:30:00Z,2023-08-25T04:00:00Z,TV1
2023-08-28T18:00:00Z,2023-08-29T01:45:00Z,TV1
2023-08-29T18:00:00Z,2023-08-30T01:00:00Z,TV1
2023-09-03T18:45:00Z,2023-09-03T21:45:00Z,TV1
2023-09-08T22:30:00Z,2023-09-09T03:15:00Z,TV1
2023-09-11T23:45:00Z,2023-09-12T02:45:00Z,TV1
2023-09-26T18:00:00Z,2023-09-27T00:45:00Z,TV1
2023-10-05T01:15:00Z,2023-10-05T05:30:00Z,TV1
2023-10-19T18:00:00Z,2023-10-20T03:45:00Z,TV1
2023-10-21T18:00:00Z,2023-10-21T22:30:00Z,TV1
2023-10-21T23:15:00Z,2023-10-22T05:45:00Z,TV1
2023-10-30T21:00:00Z,2023-10-31T00:45:00Z,TV1
2023-11-03T00:30:00Z,2023-11-03T05:15:00Z,TV1
2023-11-12T23:30:00Z,2023-11-13T02:30:00Z,TV1
2023-11-14T00:00:00Z,2023-11-14T03:15:00Z,TV1
2023-11-24T22:15:00Z,2023-11-25T05:45:00Z,TV1
2023-12-03T18:00:00Z,2023-12-03T21:30:00Z,TV1
2023-12-15T00:00:00Z,2023-12-15T05:45:00Z,TV1
2023-12-15T23:00:00Z,2023-12-16T05:30:00Z,TV1
2023-12-23T22:45:00Z,2023-12-24T06:00:00Z,TV1
2023-12-28T18:00:00Z,2023-12-28T21:15:00Z,TV1
2024-01-12T18:15:00Z,2024-01-13T03:45:00Z,TV1
2024-01-15T02:00:00Z,2024-01-15T06:00:00Z,TV1
2024-01-28T01:15:00Z,2024-01-28T06:00:00Z,TV1
2024-02-02T21:00:00Z,2024-02-03T00:45:00Z,TV1
2024-02-05T18:00:00Z,2024-02-05T22:30:00Z,TV1
2024-02-06T20:15:00Z,2024-02-07T03:45:00Z,TV1
2024-02-12T18:45:00Z,2024-02-12T22:45:00Z,TV1
2024-02-15T00:15:00Z,2024-02-15T03:15:00Z,TV1
2024-02-22T18:00:00Z,2024-02-23T00:45:00Z,TV1
2024-02-23T18:00:00Z,2024-02-23T21:45:00Z,TV1
2024-02-25T22:45:00Z,2024-02-26T03:30:00Z,TV1
