periodBegin,periodEnd,Tree
2022-06-28T01:00:00Z,2022-06-28T05:45:00Z,FB4
2022-07-03T22:30:00Z,2022-07-04T01:30:00Z,FB4
2022-07-05T01:30:00Z,2022-07-05T05:45:00Z,FB4
2022-07-05T23:00:00Z,2022-07-06T05:30:00Z,FB4
2022-07-09T23:00:00Z,2022-07-10T05:45:00Z,FB4
2022-07-23T18:00:00Z,2022-07-23T22:45:00Z,FB4
2022-07-29T18:00:00Z,2022-07-29T21:45:00Z,FB4
2022-08-06T20:45:00Z,2022-08-07T01:00:00Z,FB4
2022-08-13T00:00:00Z,2022-08-13T05:45:00Z,FB4
2022-08-20T18:00:00Z,2022-08-20T23:00:00Z,FB4
2022-08-24T00:00:00Z,2022-08-24T05:30:00Z,FB4
2022-09-03T23:15:00Z,2022-09-04T03:00:00Z,FB4
2022-09-07T21:00:00Z,2022-09-08T01:15:00Z,FB4
2022-09-10T22:15:00Z,2022-09-11T01:15:00Z,FB4
2022-09-25T23:45:00Z,2022-09-26T03:00:00Z,FB4
2022-10-02T21:15:00Z,2022-10-03T03:30:00Z,FB4
2022-10-03T18:00:00Z,2022-10-03T21:30:00Z,FB4
2022-10-06T01:00:00Z,2022-10-06T05:30:00Z,FB4
2022-10-25T02:30:00Z,2022-10-25T05:30:00Z,FB4
2022-10-31T18:00:00Z,2022-10-31T21:45:00Z,FB4
2022-11-03T21:30:00Z,2022-11-04T01:45:00Z,FB4
2022-11-04T02:45:00Z,2022-11-04T06:00:00Z,FB4
2022-11-13T23:15:00Z,2022-11-14T02:30:00Z,FB4
2022-11-30T00:00:00Z,2022-11-30T03:00:00Z,FB4
2022-12-07T02:45:00Z,2022-12-07T06:00:00Z,FB4
2022-12-07T21:45:00Z,2022-12-08T01:00:00Z,FB4
2022-12-08T02:00:00Z,2022-12-08T06:00:00Z,FB4
2022-12-08T19:15:00Z,2022-12-09T00:15:00Z,FB4
2022-12-12T18:00:00Z,2022-12-12T23:30:00Z,FB4
2022-12-14T19:15:00Z,2022-12-14T22:45:00Z,FB4
2022-12-15T02:15:00Z,2022-12-15T06:00:00Z,FB4
2022-12-16T00:30:00Z,2022-12-16T04:30:00Z,FB4
2022-12-16T20:45:00Z,2022-12-17T01:15:00Z,FB4
2023-01-10T00:30:00Z,2023-01-10T06:00:00Z,FB4
2023-01-11T01:00:00Z,2023-01-11T06:00:00Z,FB4
2023-01-12T20:15:00Z,2023-01-12T23:15:00Z,FB4
2023-01-13T19:15:00Z,2023-01-14T03:00:00Z,FB4
2023-01-19T20:15:00Z,2023-01-19T23:45:00Z,FB4
2023-01-23T02:00:00Z,2023-01-23T05:15:00Z,FB4
2023-01-25T03:00:00Z,2023-01-25T06:00:00Z,FB4
2023-02-09T03:00:00Z,2023-02-09T06:00:00Z,FB4
2023-02-09T21:15:00Z,2023-02-10T02:45:00Z,FB4
2023-02-21T00:15:00Z,2023-02-21T03:15:00Z,FB4
